Recency,Frequency,MonetaryValue,Cluster
326,1,77183.6,4
2,7,4310.0,0
75,4,1797.24,0
19,1,1757.55,0
310,1,334.4,2
36,8,2506.04,0
204,1,89.0,0
232,1,1079.4,2
214,1,459.4,2
23,3,2811.43,0
33,1,6207.67,0
2,2,1168.06,0
58,4,6372.58,0
52,3,2662.06,0
287,1,189.9,2
3,10,5226.23,0
110,2,552.0,0
8,4,1313.1,0
291,2,641.38,2
4,1,168.9,0
51,4,3545.69,0
45,2,1887.96,0
72,3,1298.04,0
311,1,364.6,2
25,1,742.9300000000001,0
11,2,457.5,0
315,2,1628.12,2
130,1,4008.62,0
82,2,852.24,0
22,4,2724.81,0
5,5,1845.31,0
185,5,1850.56,0
29,2,585.27,0
338,2,401.9,2
16,6,2780.66,0
80,1,549.84,0
22,1,460.89,0
72,4,1582.6,0
64,2,1272.48,0
19,12,3018.63,0
36,2,2409.9,0
46,1,1635.66,0
119,4,1108.65,0
303,1,84.3,2
323,1,225.6,2
50,1,427.7,0
149,1,1710.39,0
22,2,3415.3,0
50,5,1708.12,0
33,5,2888.55,0
79,3,11072.67,0
309,2,693.3299999999999,2
75,3,1226.88,0
67,3,758.1,0
217,3,562.41,2
24,21,124914.53,4
3,9,3649.1,0
113,1,668.58,0
64,1,600.39,0
16,4,807.04,0
96,3,803.5600000000001,0
1,8,1859.31,0
163,2,1760.96,0
78,1,777.2,0
195,1,582.73,0
22,3,825.8,0
26,9,7956.46,0
9,4,3750.4,0
43,1,256.4,0
36,15,6487.45,0
43,5,5059.32,0
1,7,13375.87,0
85,2,806.14,0
80,2,7829.89,0
100,1,509.01,0
2,18,4951.41,5
14,2,2906.85,0
367,1,173.55,2
3,1,172.06,0
21,5,5005.46,0
22,1,133.4,0
58,1,1002.31,0
243,1,476.49,2
44,1,449.45,0
22,4,4067.29,0
156,2,197.88,0
11,5,9035.52,0
17,2,430.57,0
134,1,707.09,0
56,1,3528.34,0
73,6,2466.86,0
44,3,3181.04,0
66,7,2363.23,0
71,2,947.4,0
94,2,826.88,0
19,2,1189.59,0
53,4,1344.78,0
10,8,1212.05,0
17,2,742.1899999999999,0
188,2,729.5400000000001,0
2,30,19824.05,5
32,7,6572.11,0
29,5,3938.55,0
17,18,7375.79,5
54,1,723.38,0
16,11,6816.42,0
23,6,13219.74,0
4,1,680.99,0
11,1,527.2,0
28,4,3281.63,0
23,10,5596.32,0
17,8,2484.98,0
33,6,4541.72,0
10,3,1298.66,0
336,1,334.93,2
5,10,5417.93,0
39,1,460.4,0
63,2,263.21000000000004,0
166,2,433.74,0
16,7,1246.1,0
82,1,1043.1,0
21,3,403.7000000000001,0
23,11,4257.82,0
337,1,2169.39,2
96,5,3723.87,0
18,2,482.05,0
233,1,73.5,2
134,3,1304.81,0
26,2,398.27,0
284,1,176.5,2
143,2,982.57,0
66,2,138.03,0
113,1,612.29,0
267,1,1017.68,2
353,1,383.7,2
78,2,1312.06,0
28,5,2502.84,0
1,5,2056.89,0
64,1,340.84,0
79,5,2634.26,0
143,1,599.68,0
39,2,192.72,0
19,11,1789.77,0
9,8,4485.72,0
1,3,1316.66,0
82,3,348.71000000000004,0
9,6,1933.48,0
60,4,1662.28,0
15,1,125.22,0
30,1,349.83000000000004,0
131,1,1089.18,0
92,2,716.35,0
43,3,12601.830000000002,0
29,1,363.95,0
22,4,5568.35,0
20,17,13400.24,5
30,3,981.18,0
36,1,372.7,0
75,2,1000.39,0
47,2,1161.5,0
198,2,207.8,0
166,1,95.2,0
79,1,964.83,0
358,1,168.0,2
39,2,437.82,0
8,10,3692.28,0
50,2,603.71,0
16,5,11990.96,0
8,1,269.96,0
311,2,561.71,2
5,3,2134.01,0
303,1,238.85,2
8,7,3781.74,0
261,1,456.9,2
289,1,145.92,2
86,1,351.65,0
23,10,9401.28,0
2,32,4124.69,5
40,2,519.61,0
9,2,1020.42,0
227,1,160.54000000000002,2
316,1,218.45,2
36,5,1315.83,0
35,3,657.8,0
21,2,2794.51,0
78,1,440.42,0
247,1,415.7,2
40,1,197.71,0
239,2,511.36,2
3,15,7281.38,5
4,9,2338.15,0
234,2,2040.1,2
17,1,196.94000000000003,0
8,1,144.0,0
39,1,214.9,0
29,2,646.68,0
211,2,9864.26,2
317,1,452.85,2
92,2,437.6,0
109,3,418.1,0
38,10,3338.2200000000003,0
51,2,618.27,0
19,4,3811.22,0
10,8,3023.08,0
29,7,1032.58,0
29,10,2599.04,0
190,5,577.0600000000001,0
59,1,153.12,0
22,1,739.1999999999999,0
79,2,254.18,0
60,1,1579.51,0
78,3,1126.85,0
23,5,2099.54,0
52,1,1193.32,0
74,1,704.0400000000001,0
57,5,3344.38,0
278,1,315.6,2
2,4,2291.19,0
95,2,713.3,0
29,1,355.53,0
22,1,177.31,0
16,9,3641.24,0
15,3,1339.41,0
2,20,13689.67,5
232,1,180.1,2
276,1,305.1,2
106,2,641.13,0
212,2,2683.82,2
23,9,6620.48,0
11,7,4478.53,0
4,3,786.46,0
10,2,1270.88,0
57,1,640.5,0
59,4,2163.98,0
90,2,1689.18,0
67,8,6021.9,0
33,1,671.69,0
239,1,486.1,2
24,3,1174.58,0
115,1,185.9,0
25,3,1013.26,0
128,6,3344.64,0
130,1,477.91,0
34,4,1775.18,0
5,2,1346.97,0
22,12,3722.82,0
155,1,318.05,0
107,3,623.51,0
3,1,314.44,0
335,1,114.0,2
331,1,919.98,2
149,2,2209.85,0
11,5,601.98,0
17,5,4051.17,0
11,4,1643.18,0
19,1,686.05,0
30,1,91.68,0
11,1,245.1,0
1,11,3849.78,0
8,9,4881.88,0
325,1,63.0,2
58,1,620.13,0
12,4,3807.15,0
151,3,2744.03,0
10,5,2996.05,0
330,1,225.9,2
5,2,610.52,0
39,4,1970.6,0
25,6,1331.39,0
42,12,17628.46,5
59,4,1113.02,0
1,4,862.81,0
15,22,13787.54,5
4,31,12288.22,5
4,15,8476.57,5
8,7,2283.63,0
28,6,2863.08,0
372,1,89.14,2
114,1,4873.81,0
26,2,1247.61,0
206,1,389.01,2
28,6,1035.8,0
127,4,855.91,0
70,2,869.67,0
7,4,582.1,0
29,3,957.59,0
8,4,4939.99,0
80,2,797.71,0
20,1,219.0,0
71,1,283.55,0
7,8,2340.84,0
15,9,6868.29,0
292,1,603.42,2
30,10,2712.91,0
15,15,9736.52,5
97,3,1149.02,0
29,13,4396.13,0
1,1,848.55,0
9,5,4708.86,0
106,1,353.86,0
4,2,1053.49,0
151,2,1030.98,0
71,1,238.25,0
5,2,644.95,0
3,25,5781.73,5
32,6,2656.13,0
85,4,997.63,0
4,5,725.07,0
5,4,1031.41,0
371,1,427.8,2
28,7,2609.1,0
11,7,3980.7,0
71,4,836.33,0
114,1,453.01,0
24,12,18895.91,5
180,1,236.26,0
234,1,383.95,2
353,1,110.4,2
315,2,779.5699999999999,2
333,1,234.0,2
372,1,155.35,2
78,2,1013.04,0
64,1,427.6,0
134,2,546.43,0
52,7,21279.29,0
2,11,4196.01,0
1,210,33719.73,3
4,5,4090.88,0
129,1,275.88,0
81,1,4366.78,0
23,6,21429.39,0
236,3,3010.74,2
281,2,3811.95,2
87,1,112.07999999999998,0
16,13,7857.1,0
117,2,2791.59,0
52,3,1531.44,0
8,2,1898.52,0
138,2,494.08,0
317,1,1693.88,2
4,7,6989.63,0
239,1,1143.6,2
211,1,1351.45,2
60,1,892.47,0
17,5,1386.04,0
20,6,822.23,0
38,8,3981.36,0
64,2,826.74,0
5,5,2330.92,0
2,6,2225.91,0
9,2,574.42,0
364,1,311.95,2
10,3,463.66,0
65,1,91.85,0
192,1,324.92,0
374,1,192.6,2
257,1,400.54,2
335,2,545.48,2
53,2,860.41,0
19,1,430.48,0
366,1,254.03,2
10,3,6977.04,0
187,1,427.58,0
37,3,483.65,0
178,1,489.31,0
261,3,514.85,2
45,1,229.64,0
102,1,125.92,0
148,2,1063.46,0
96,2,572.2,0
281,1,166.04,2
262,1,1542.08,2
3,4,942.34,0
